H-VAE-Cox
[0.782051282051282, 0.7111111111111111, 0.8146067415730337, 0.6267605633802817, 0.6516129032258065]
[0.7628205128205128, 0.7185185185185186, 0.8258426966292135, 0.6267605633802817, 0.6387096774193548]
[0.6974842767295597, 0.6862992125984252, 0.7012195121951219, 0.7959183673469388, 0.7988505747126436]
[0.7265822784810127, 0.6945161290322581, 0.69217877094972, 0.8051948051948052, 0.7205882352941176]
[0.7756410256410257, 0.6962962962962963, 0.7865168539325843, 0.7338028169014085, 0.6451612903225806]
[0.8012820512820513, 0.69111111111111111, 0.7640449438202247, 0.7183098591549296, 0.6967741935483871]
[0.7564102564102564, 0.7037037037037037, 0.7528089887640449, 0.6056338028169014, 0.6258064516129033]

Image-Only
[0.5621890547263682, 0.5955555555555555, 0.5984251968503937, 0.5392670157068062, 0.48507462686567165]
[0.5472636815920398, 0.6111111111111111, 0.5748031496062992, 0.5602094240837696, 0.43283582089552236]
[0.5572139303482587, 0.7444444444444444, 0.5590551181102362, 0.5706806282722513, 0.5298507462686567]
[0.6318407960199005, 0.7, 0.6220472440944882, 0.5445026178010471, 0.373134328358209]
[0.5572139303482587, 0.7, 0.6220472440944882, 0.6020942408376964, 0.47761194029850745]

gene only
[0.56, 0.5136612021857924, 0.4574468085106383, 0.4817073170731707, 0.582089552238806]
[0.51, 0.4972677595628415, 0.44680851063829785, 0.4634146341463415, 0.582089552238806]
[0.56, 0.5136612021857924, 0.4574468085106383, 0.4817073170731707, 0.5970149253731343]
[0.5, 0.5355191256830601, 0.4734042553191489, 0.4695121951219512, 0.6044776119402985]
[0.58, 0.4972677595628415, 0.44148936170212766, 0.47560975609756095, 0.5522388059701493]

gene + clinical
[0.5128205128205128, 0.6930232558139535, 0.7197802197802198, 0.6451612903225806, 0.4656084656084656]
[0.5641025641025641, 0.5674418604651162, 0.38461538461538464, 0.5403225806451613, 0.6296296296296297]
[0.40384615384615385, 0.6023255813953488, 0.42857142857142855, 0.5241935483870968, 0.5396825396825397]
[0.5448717948717948, 0.6023255813953489, 0.41978021978021978, 0.46774193548387094, 0.4603174603174603]
[0.48717948717948717, 0.4744186046511628, 0.7076923076923077, 0.43548387096774194, 0.6349206349206349]
 
 
image + clinical
[0.5373134328358209,  0.7888888888888889, 0.5905511811023622,  0.612565445026178,  0.39552238805970147]
[0.48756218905472637, 0.7444444444444444,  0.6299212598425197,  0.5654450261780105,  0.3805970149253731]
[0.5074626865671642, 0.7555555555555555, 0.6850393700787402, 0.5706806282722513, 0.48507462686567165]
0.71, 0.4808743169398907, 0.5319148936170213, 0.6341463414634146, 0.5970149253731343
[0.68, 0.48633879781420764, 0.5797872340425532, 0.6219512195121951, 0.5895522388059702]

X-VAE-Cox model
[0.81, 0.739344262295082, 0.675531914893617, 0.7865853658536586, 0.753731343283582]
[0.71, 0.6338797814207651, 0.7021276595744681, 0.7195121951219512, 0.753731343283582]
[0.78, 0.6885245901639344, 0.6968085106382979, 0.6097560975609756, 0.7313432835820896]
[0.81, 0.7103825136612022, 0.723404255319149, 0.725609756097561, 0.7611940298507462]
[0.71, 0.7049180327868853, 0.7180851063829787, 0.7621951219512195, 0.6965671641791045]
[0.76, 0.6939890710382514, 0.7021276595744681, 0.7987804878048781, 0.753731343283582]

pycox
[0.5590062111801242, 0.5688622754491018, 0.5126582278481012, 0.6305732484076433, 0.5343511450381679]
[0.7261146496815286, 0.4666666666666667, 0.6629213483146067, 0.548951048951049, 0.6645161290322581]
[0.4444444444444444, 0.7380952380952381, 0.6325301204819277, 0.7248322147651006, 0.5]
[0.458041958041958, 0.5294117647058824, 0.734375, 0.4591194968553459, 0.608433734939759]
[0.5590062111801242, 0.5688622754491018, 0.5126582278481012, 0.6305732484076433, 0.5343511450381679]


