feature,feature_importance_vals
SOX4,0.000167815
PPP1R3D,0.000167748
SHARPIN,0.000167589
ARPC3,0.000167453
SLC25A16,0.000167246
MRPL55,0.00016598
ARPC1B,0.000165956
RPS13,0.000165951
NCOA6,0.000165551
PARP1,0.000164608
LAMC2,0.000163275
RPL3,0.0001632
SHC2,0.000162237
IKBKE,0.00016212
RORA,0.000162071
HIST4H4,0.000161603
YWHAH,0.00016133
RFC4,0.000161149
CTSK,0.000160809
BRCA1,0.000160489
POLR2A,0.000160193
TLE3,0.000159561
TAF11,0.000159308
GADD45GIP1,0.000159215
PRKACB,0.000158951
RAP1A,0.000158805
ARPC4,0.000158753
GUCY1B3,0.000158603
POLR2K,0.000157991
SQSTM1,0.000157662
ACTR1A,0.000157325
TUBA1B,0.000156513
TAF5,0.000156253
POLR3C,0.000155775
POLR1C,0.000155298
WWTR1,0.000155248
SHFM1,0.000155161
FAS,0.000155039
POLE3,0.000154951
PPP2R5E,0.000154818
GNAI2,0.000154818
ACAT2,0.000154723
SOX13,0.000154641
SKP1,0.000154569
SUMO2,0.00015436
RPS4Y1,0.000153867
SUPT16H,0.00015359
ALDH5A1,0.000153514
VAV1,0.000153503
CDC16,0.000153424
LAMB3,0.000153003
RPS3A,0.000152762
SEC24D,0.00015276
PCNA,0.000152674
MAPK9,0.000152199
TGS1,0.000152145
H2AFX,0.000152018
PTPN11,0.000151725
SEC22B,0.000151424
VPS28,0.000151288
PML,0.000151275
COL7A1,0.000150951
CAT,0.000150804
RPL5,0.000150751
POLR2C,0.000150585
RPL30,0.000150358
RPL7A,0.000149872
GOLGA2,0.000149776
CAV1,0.000149344
DOCK2,0.000149188
EDNRA,0.0001487
RBM8A,0.000148408
TPR,0.000147612
CACNA1C,0.000147455
XRCC3,0.000147206
UBE2V1,0.000147039
RPL23,0.000146918
PPP2CB,0.000146917
PSME2,0.000145986
TNFRSF1A,0.000145738
CPT2,0.000145721
AKT2,0.000145653
CTTN,0.000145408
JAK3,0.000145206
VPS37C,0.000145113
NDEL1,0.000144974
UBE2D1,0.000144536
GPS2,0.000144152
PIP5K1C,0.000144081
WAS,0.000143884
NFYA,0.000143739
ACADS,0.000143542
ACADM,0.000143538
GRB2,0.000143383
HIST1H2BO,0.00014322
ARPC2,0.000143175
RPLP1,0.000143158
GLS,0.000142961
AP2B1,0.000142711
TGFBR1,0.000142555
PANK1,0.00014226
SPHK2,0.000142229
ABL1,0.000141777
ANAPC1,0.000141581
NCBP1,0.000141508
POLR2G,0.000141366
TBL1XR1,0.000140989
MAPK14,0.000140525
VAV2,0.000140519
RPLP0,0.000140443
RPS8,0.000140013
BAK1,0.000139926
RPL13A,0.000139854
C3,0.000139592
HIST1H2BL,0.000139142
RPL10,0.0001391
SFN,0.00013904
LAMA2,0.000138901
JUN,0.000138551
ACADVL,0.000138507
RPL39L,0.000138433
INPP5D,0.000138389
RPL32,0.000138267
WRN,0.000138213
BRE,0.000138209
PSMD8,0.00013818
RPL27A,0.000137898
TBP,0.00013786
SIRT1,0.000137758
MRPL19,0.000137676
MAP3K7,0.000137605
MRPL23,0.000137559
RPL18A,0.000137195
PSMD5,0.000136801
CNOT3,0.000136592
VPS36,0.000136466
SMAD2,0.000136424
ELMO1,0.000135837
ARRB1,0.000135591
STK4,0.00013552
NDUFS7,0.000135418
PDGFB,0.000135382
CASP8,0.000135276
GNG11,0.000134981
ATP6V0C,0.000134768
ELOVL1,0.000134601
SLC9A1,0.000134598
COL5A3,0.000134435
STAT1,0.000134263
ENO1,0.000134093
POLE,0.000133944
CNOT1,0.000133418
ICAM1,0.00013329
IFIH1,0.000133064
MAPK11,0.000132947
USP4,0.000132719
BRMS1,0.000132148
RPS5,0.000132029
ATP6V1F,0.000131908
CAPZA2,0.000131905
OCRL,0.000131903
HDAC3,0.000131495
COL1A2,0.000131434
ATP6V0A1,0.000131339
POLR3K,0.000131237
RNGTT,0.000131166
TCF7L1,0.000130952
SYNJ1,0.000130858
TCEB2,0.000130579
XPO1,0.000130488
ARAF,0.000130331
CKS1B,0.000130176
PDGFA,0.000130141
PSMC5,0.000129826
DYNC2LI1,0.000129807
CREB3L1,0.000129693
NDC80,0.000129504
ADH1B,0.000129474
SIAH1,0.000129374
RPL31,0.000129091
BRAF,0.000128588
DDB1,0.000128411
RPL29,0.000128347
PLCE1,0.000128213
CDK4,0.000128055
TAF9B,0.00012795
TLN1,0.000127896
ADCY9,0.000127552
PSMC2,0.000127519
VAV3,0.00012736
PSMD12,0.000126848
PPIP5K2,0.000126838
ITPK1,0.000126796
UBA7,0.000126664
EFNA1,0.000126645
SMARCD3,0.000126644
POLR2F,0.000126388
HADHB,0.000126307
LAMA4,0.000125951
NUP62,0.000125934
EXOSC4,0.000125903
NUP54,0.000125859
GNB2,0.000125806
TMED2,0.000125201
MME,0.000125138
ACO2,0.000124633
PRKCE,0.000124586
YWHAG,0.000124496
KDM1A,0.000124248
CHD4,0.000124201
PLD2,0.000124072
NXT1,0.000124068
DCTN4,0.000124
CRAT,0.000123789
ZFYVE9,0.000123778
HIST1H4C,0.000123451
ITGB4,0.00012343
ELN,0.000123289
TUBA1C,0.000123137
PSMB6,0.000123013
POLR1E,0.000122951
GAB2,0.000122945
KAT5,0.000122698
PRKCZ,0.00012246
CXCL2,0.000122279
TRAPPC1,0.000122195
RPS26,0.000122147
ATP2A3,0.00012211
MYL12A,0.00012187
HIST1H4L,0.000121853
COL6A6,0.000121738
PDE3B,0.000121678
NUP43,0.000121533
XPC,0.000121133
CRK,0.000121116
SEC63,0.000120884
TCEB1,0.000120845
CCNB1,0.000120724
EIF4G1,0.00012043
RPL8,0.000120373
LSM6,0.000120276
LYN,0.000120197
RHOQ,0.000120144
TRMT112,0.000119988
CAPNS1,0.000119953
MRPS36,0.000119931
IFNGR2,0.000119878
TRAPPC2L,0.000119872
PSMB5,0.00011963
ITGA6,0.00011951
RPS29,0.000119379
MRPS30,0.000119362
HIST1H3B,0.000119119
CLTA,0.00011907
ALDH7A1,0.00011863
CDKN2A,0.000118405
FLNA,0.000118317
TRAF1,0.000118295
APAF1,0.000118266
AKAP1,0.000118055
HIST1H2BJ,0.000117989
PSMB10,0.00011793
PSMA5,0.000117844
CDC26,0.00011774
POLR3E,0.000117712
DOCK10,0.000117691
MNAT1,0.000117453
ATP6V1H,0.000117384
RB1,0.000117355
MAP2K2,0.000117243
RPS23,0.000116229
MLST8,0.000116175
RPS6KB2,0.000115837
KDM4C,0.000115814
SEH1L,0.000115717
PPARA,0.000115646
VPS25,0.000115613
NOTCH3,0.000115291
DCP1A,0.00011529
ATRIP,0.000115163
KCNMA1,0.000114977
TGIF2,0.000114709
ECI2,0.000114646
UQCR11,0.000114259
IL4I1,0.000114254
E2F3,0.0001139
ATP6V1A,0.000113837
FTH1,0.000113815
NUF2,0.000113774
RPL38,0.000113694
ACTR1B,0.000113543
NFYB,0.000113433
FOXO4,0.000113412
RCC2,0.000113148
POLD1,0.000112741
DCPS,0.00011264
CBLC,0.000112602
CAPZB,0.000112438
ATP6V0D1,0.000112105
CD74,0.000111971
IFNAR2,0.000111945
ITGAV,0.000111845
MRPL22,0.00011174
MAGED1,0.000111665
FZR1,0.000111357
IKBKG,0.000111237
ACOX3,0.000111187
NDUFB10,0.000111124
TAF2,0.000111091
RPS15A,0.000111059
BSG,0.000110966
POLE4,0.000110837
NSF,0.000110813
HIST1H2BD,0.000110687
ATP5F1,0.00011037
HSPA9,0.000110312
BUB1,0.000110309
SKA2,0.000110259
POLR3A,0.000110131
COL4A1,0.000110008
ANAPC10,0.000110005
PIK3C2A,0.00010994
TICAM1,0.000109776
SPI1,0.000109701
TCEA1,0.000109515
VCAM1,0.000109394
TGFB3,0.000109373
CPEB4,0.000109281
MAD2L2,0.00010906
PPP3CB,0.000109039
ACACB,0.000108559
QTRT1,0.000108516
HRAS,0.000108391
FOXO1,0.000108275
CDC23,0.000107951
ZWILCH,0.000107863
SCFD1,0.000107677
DGKE,0.000107642
ITGAM,0.000107608
SHC1,0.000107523
DCP2,0.000107385
PRKCQ,0.000107254
POLR2E,0.000107128
ALDH3A2,0.000107064
TCF7L2,0.000107035
HSPD1,0.000106902
MRPS35,0.000106894
ITGB7,0.000106748
COL15A1,0.000106695
IRAK1,0.000106691
NRIP1,0.000106601
BNIP3,0.000106554
RFC5,0.000106524
ITGB3,0.000106402
MAFG,0.000106323
PRKCD,0.000106253
LCN2,0.000106252
BMP1,0.000106147
NCBP2,0.000106052
DUSP16,0.000105959
FAM175A,0.000105567
POLD2,0.000105367
CHEK2,0.000105351
NCOA1,0.000105079
CCND1,0.000105038
ZAP70,0.000104995
PIK3C2B,0.000104951
DGKD,0.00010486
PPP2R5B,0.000104736
DOCK4,0.000104677
RNASEH2B,0.000104634
PSMA6,0.000104373
SNW1,0.000104304
B3GALT6,0.000104137
STAM,0.000104076
MRPL27,0.000103978
KIF18A,0.000103938
ALOX5,0.000103902
AP2M1,0.000103692
FCGR1A,0.000103455
DIS3,0.000103134
PPP2R1A,0.000103034
MRPS26,0.000103022
POLR3B,0.000102731
SEC61B,0.00010272
RPS7,0.000102504
NUP93,0.000102475
NSMCE2,0.000102464
ALDH2,0.000102379
XRCC6,0.000102339
PSMD9,0.00010179
COL10A1,0.000101493
RAPGEF1,0.000101411
CNOT7,0.000101355
COL4A4,0.0001013
HIST2H2BE,0.000100991
TGFBR2,0.000100865
SHC3,0.00010054
NDUFAB1,0.000100183
ITGB5,0.000100152
DOCK5,0.000100061
CNOT4,1.00E-04
HIST1H2AL,9.98E-05
ECHS1,9.96E-05
DCTN1,9.95E-05
NEIL1,9.95E-05
NUPL2,9.94E-05
TGFA,9.94E-05
RPL19,9.92E-05
CHUK,9.92E-05
RELB,9.89E-05
NCF1,9.89E-05
RBCK1,9.86E-05
MAPK13,9.86E-05
SEC16B,9.86E-05
LAMB2,9.86E-05
OXA1L,9.84E-05
PRKAR2B,9.83E-05
RPS25,9.82E-05
CACNA1D,9.80E-05
ATP6V0B,9.78E-05
TAB3,9.78E-05
CR1,9.78E-05
RPL22L1,9.78E-05
IKBKB,9.78E-05
NCF4,9.77E-05
HAUS3,9.76E-05
SLC22A3,9.76E-05
SMG5,9.75E-05
SFTPA1,9.75E-05
GLUD1,9.74E-05
JAK1,9.73E-05
MMP14,9.72E-05
UBE2N,9.72E-05
CETN2,9.71E-05
LAT,9.70E-05
RASA1,9.70E-05
CHEK1,9.69E-05
PPP2R5C,9.67E-05
COL8A2,9.65E-05
CNOT10,9.62E-05
CASP9,9.62E-05
TNFRSF11A,9.61E-05
MRPS18C,9.59E-05
COL4A2,9.58E-05
PAK2,9.57E-05
CPEB2,9.56E-05
ANAPC7,9.56E-05
ADSS,9.56E-05
CASP7,9.55E-05
CYBA,9.54E-05
RAP1B,9.54E-05
SLC35B4,9.53E-05
ARPC5L,9.52E-05
PPP2R3C,9.50E-05
HIST1H3J,9.49E-05
TBC1D20,9.48E-05
RPL28,9.48E-05
ARPC1A,9.46E-05
SEMA6D,9.45E-05
SNUPN,9.45E-05
TDG,9.43E-05
DUSP6,9.42E-05
NFKB1,9.42E-05
CABLES1,9.42E-05
ITGA1,9.41E-05
CSNK1D,9.39E-05
SMC1A,9.38E-05
KIF11,9.37E-05
PAK4,9.36E-05
PTGES2,9.35E-05
COL4A5,9.33E-05
MYC,9.32E-05
HIST1H3H,9.32E-05
FCGR3A,9.30E-05
TBK1,9.30E-05
MRPL28,9.27E-05
HIST1H1E,9.26E-05
PPP2R3A,9.25E-05
PSMA1,9.24E-05
CXCL12,9.21E-05
PRKAA1,9.20E-05
MRPL53,9.16E-05
POLM,9.15E-05
UPF3B,9.13E-05
PTGES3,9.13E-05
TOP3A,9.12E-05
PPP2R1B,9.11E-05
HTRA1,9.11E-05
PPP1R3F,9.11E-05
E2F1,9.09E-05
FOS,9.08E-05
MRPL51,9.08E-05
PHC3,9.08E-05
SACM1L,9.07E-05
MRPL45,9.07E-05
MRPL38,9.06E-05
CP,9.05E-05
GNAQ,9.04E-05
ADCY7,9.03E-05
DAPK2,9.01E-05
TCF7,8.98E-05
MTM1,8.98E-05
MRPS23,8.98E-05
ATP6V0E1,8.98E-05
SPCS3,8.96E-05
NUP210,8.95E-05
CASP3,8.94E-05
RPS12,8.94E-05
BCAR1,8.93E-05
DUSP8,8.92E-05
MAP3K14,8.91E-05
CANX,8.89E-05
MAPKAPK2,8.89E-05
GNB1,8.88E-05
PPP2R5A,8.88E-05
PSMD2,8.88E-05
MRPL48,8.87E-05
HAUS7,8.87E-05
BCL2L11,8.86E-05
TAF4B,8.86E-05
BTG2,8.86E-05
ARID4B,8.85E-05
NFIB,8.85E-05
RNF2,8.84E-05
AP1S1,8.82E-05
BUB1B,8.79E-05
CDC27,8.79E-05
RBX1,8.78E-05
TNFSF10,8.77E-05
KIF3B,8.76E-05
TMEM173,8.75E-05
SEC61A2,8.74E-05
SDHB,8.74E-05
MAPRE1,8.73E-05
CASP10,8.71E-05
MRPL44,8.71E-05
PPA1,8.70E-05
PRIM1,8.70E-05
PYGO1,8.70E-05
GPX7,8.69E-05
PGM2,8.68E-05
LCK,8.66E-05
