,col_name,feature_importance_vals
5241,MAP2K3,3.6642596209764866e-05
7169,PRKACA,3.662062343017589e-05
767,ATP6V0B,3.660261389900354e-05
8481,SLC16A10,3.656757911268362e-05
7276,PSMC4,3.654736735606653e-05
4107,HIST1H4H,3.649179303343212e-05
3004,ETS1,3.625401685576282e-05
6278,NUP155,3.624719647599652e-05
180,ADCY3,3.6234456397411264e-05
3052,F11R,3.612458731564717e-05
5933,NCOA2,3.611587996322176e-05
9047,STAT3,3.603331846634844e-05
10364,VPS25,3.601605617746464e-05
9320,TCEA1,3.589440073591496e-05
1613,CDC23,3.5720266812360864e-05
1389,CAV1,3.565272691708434e-05
5996,NDUFS8,3.552256157108174e-05
4534,ITGB1,3.545587875105018e-05
9338,TCF7L1,3.532401326712996e-05
10134,UBE2N,3.526086022833834e-05
10116,UBE2D1,3.51661209009535e-05
182,ADCY6,3.515940320364909e-05
2100,CREB1,3.508954844339594e-05
3509,FZD5,3.501957260775376e-05
3980,HDAC1,3.486368274230664e-05
9508,TLN1,3.480336421721229e-05
5367,MDM2,3.475614742277217e-05
7186,PRKCZ,3.469259800222237e-05
6964,POLD3,3.467438177960657e-05
6611,PDS5B,3.4661167372882154e-05
7101,PPP2R1A,3.454462379623307e-05
2206,CTTN,3.4523758217539164e-05
6291,NUP85,3.450314425137435e-05
10334,VDAC1,3.444138061816478e-05
1806,CHMP7,3.431477750172991e-05
4532,ITGAV,3.4136337968973316e-05
2750,EEA1,3.4003809340803746e-05
5611,MRAS,3.394942946652708e-05
1683,CDKN2B,3.393815292536299e-05
6965,POLD4,3.3929228837337175e-05
8684,SMAD4,3.3929135406651766e-05
3943,H3F3B,3.392872996119187e-05
3422,FOLR1,3.392318774824539e-05
6990,POLR2F,3.39049540164419e-05
7275,PSMC3,3.378947446234493e-05
6851,PLCG1,3.376928112769607e-05
4240,HSPA8,3.374845759586046e-05
6051,NFKB2,3.366293268636757e-05
1319,CALM3,3.353883032253599e-05
4271,ICAM1,3.351843362287682e-05
527,ARF1,3.350787245630307e-05
9416,TGFBR2,3.3499433474960285e-05
9233,TAF6,3.349782342507541e-05
7996,RPSA,3.346638674376943e-05
771,ATP6V0E2,3.337856610056742e-05
7282,PSMD12,3.3347935263896905e-05
4082,HIST1H2BF,3.314875643328518e-05
8661,SLC9A8,3.314854147727321e-05
7980,RPS3A,3.3134362952471116e-05
2791,EHD4,3.292929484766374e-05
1684,CDKN2C,3.2903347591374e-05
4537,ITGB3,3.285300118180273e-05
4106,HIST1H4F,3.2786699527229335e-05
7168,PRKAB2,3.274856861697099e-05
2175,CTBP1,3.27403813775854e-05
4127,HLA-DQB1,3.264617477583169e-05
2853,ELK1,3.2609391960344206e-05
1992,COL4A3,3.2572152172530076e-05
7500,RAC3,3.254152878206731e-05
7904,RPL18A,3.252121242448643e-05
10489,WNT3,3.2479413784996656e-05
9307,TBL1XR1,3.243820441401095e-05
1033,BTRC,3.242248793633952e-05
779,ATP6V1H,3.238691020569079e-05
7274,PSMC2,3.224970093399931e-05
5314,MAVS,3.221473374762896e-05
7270,PSMB5,3.22119663685236e-05
765,ATP6V0A1,3.216682194201544e-05
7990,RPS6KB1,3.216029698150508e-05
462,AP2S1,3.210898170788841e-05
7005,POLR3K,3.204969723880752e-05
9879,TRIM25,3.191563352921743e-05
7478,RAB5C,3.180293500253566e-05
